N,P,K,temperature,humidity,ph,rainfall,label,Humidity,Productivity
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,80.62831726,0.010110053
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,69.84901133,0.960420472
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,5.582340222,0.759589231
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,42.50114346,0.565712476
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,65.05415873,0.562910939
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,23.62670997,0.156861765
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,20.38978596,0.303785818
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,68.33868659,0.948245209
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,84.81917121,0.311922455
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,75.66592605,0.994771319
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,33.71220282,0.150482016
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,76.78027909,0.571761703
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,29.76894066,0.027112811
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,5.027350253,0.77981332
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,30.44091895,0.728857779
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,90.03581401,0.567799713
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,36.00882304,0.701968027
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,33.77729431,0.98604854
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,76.03464436,0.151681074
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,12.63708532,0.90415477
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,47.41485156,0.098003593
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,76.53235949,0.594447493
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,29.40945281,0.415845387
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,12.17139671,0.290202584
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,1.647826009,0.06372851
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,1.952604986,0.688117071
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,11.70841872,0.910200062
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,69.94241685,0.504303168
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,2.085995985,0.558749861
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,48.15820601,0.770341221
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,23.24149646,0.245486628
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,78.03483958,0.328315911
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,42.90880601,0.326947042
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,37.34323634,0.905720628
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,14.39573031,0.029199566
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,59.47783271,0.408374617
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,20.50206281,0.261857338
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,32.4326534,0.071308057
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,39.74467356,0.44584082
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,26.95789642,0.279231711
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,25.30367172,0.523254834
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,23.53344167,0.538329458
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1.509192382,0.469174701
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,77.30580547,0.962571472
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,56.22911535,0.086828432
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,6.471325701,0.028987893
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,86.31513893,0.048801776
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,8.192611164,0.942473038
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,10.70810181,0.481734447
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,51.3389632,0.750031815
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,58.81809436,0.625027557
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,22.79548928,0.872084912
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,80.99115275,0.561613657
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,36.44934381,0.936366875
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,77.24996292,0.241282069
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,63.39898115,0.584337723
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,90.04688706,0.95028846
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,71.2503115,0.89658826
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,45.39288358,0.76137531
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,65.35513531,0.644643188
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,61.58022166,0.276204465
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,36.04997584,0.738300886
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,45.09975479,0.161146603
